quote,author,tags,likes
"For to fear death, my friends, is only to think ourselves wise without really being wise, for it is to think that we know what we do not know. For no one knows whether death may not be the greatest good that can happen to man.",Plato,death fear-of-death plato,135
True friendship can exist only between equals.,Plato,equals friendship,135
"Love' is the name for our pursuit of wholeness, for our desire to be complete.",Plato,love plato symposium,134
Books are immortal sons defying their sires.,Plato,,131
At the touch of love everyone becomes a poet.,Plato,love,130
Man is a being in search of meaning.,Plato,inspirational,129
How could they see anything but the shadows if they were never allowed to move their heads?,Plato,enlightenment philosophy,123
The soul takes flight to the world that is invisible but there arriving she is sure of bliss and forever dwells in paradise.,Plato,lady-jane,123
Either we shall find what it is we are seeking or at least we shall free ourselves from the persuasion that we know what we do not know.,Plato,knowledge,119
No wealth can ever make a bad man at peace with himself,Plato,contentment music wealth,116
"Knowledge which is acquired under compulsion has no hold on the mind. Therefore do not use compulsion, but let early education be a sort of amusement; you will then be better able to discover the child's natural bent.",Plato,education homeschool homeschooling learning,114
No human thing is of serious importance.,Plato,life plato,108
"False words are not only evil in themselves, but they infect the soul with evil.",Plato,philosophy,108
"The society we have described can never grow into a reality or see the light of day, and there will be no end to the troubles of states, or indeed, my dear Glaucon, of humanity itself, till philosophers become rulers in this world, or till those we now call kings and rulers really and truly become philosophers, and political power and philosophy thus come into the same hands.",Plato,,106
All I really know is the extent of my own ignorance,Plato,,97
He was a wise man who invented God.,Plato,god religion,96
The price of apathy towards public affairs is to be ruled by evil men.,Plato,politics,95
He whom loves touches not walks in darkness.,Plato,,95
"That's what education should be,"" I said, ""the art of orientation. Educators should devise the simplest and most effective methods of turning minds around. It shouldn't be the art of implanting sight in the organ, but should proceed on the understanding that the organ already has the capacity, but is improperly aligned and isn't facing the right way.",Plato,education teaching,93
"what if the man could see Beauty Itself, pure, unalloyed, stripped of mortality, and all its pollution, stains, and vanities, unchanging, divine,...the man becoming in that communion, the friend of God, himself immortal;...would that be a life to disregard?",Plato,,92
A dog has the soul of a philosopher.,Plato,compassion doglovers kindness love,92
"In practice people who study philosophy too long become very odd birds, not to say thoroughly vicious; while even those who are the best of them are reduced by...[philosophy] to complete uselessness as members of society.",Plato,philosophy,91
"All is flux, nothing stays still",Plato,change,89
"The difficulty, my friends, is not in avoiding death, but in avoiding unrighteousness; for that runs faster than death.",Plato,apology plato socrates,88
Poetry is nearer to vital truth than history.,Plato,history poetry,87
"The man who finds that in the course of his life he has done a lot of wrong often wakes up at night in terror, like a child with a nightmare, and his life is full of foreboding: but the man who is conscious of no wrongdoing is filled with cheerfulness and with the comfort of old age.",Plato,mistakes,84
"Man...is a tame or civilized animal; never the less, he requires proper instruction and a fortunate nature, and then of all animals he becomes the most divine and most civilized; but if he be insufficiently or ill- educated he is the most savage of earthly creatures.",Plato,,81
Everything that deceives may be said to enchant.,Plato,life-relations plato,80
"Of all the animals, the boy is the most unmanageable.",Plato,,78
No one is more hated than he who speaks the truth.,Plato,truth,78
Knowledge is the food of the soul.,Plato,food knowledge soul,77
"If men learn this, it will implant forgetfulness in their souls; they will cease to exercise memory because they rely on that which is written, calling things to remembrance no longer from within themselves, but by means of external marks. What you have discovered is a recipe not for memory, but for reminder. And it is no true wisdom that you offer your disciples, but only its semblance, for by telling them of many things without teaching them you will make them seem to know much, while for the most part they know nothing, and as men filled, not with wisdom, but with the conceit of wisdom, they will be a burden to their fellows.",Plato,,77
"Excess of liberty, whether it lies in state or individuals, seems only to pass into excess of slavery.",Plato,excess individual liberty slavery state,76
"You know that the beginning is the most important part of any work, especially in the case of a young and tender thing; for that is the time at which the character is being formed and the desired impression is more readily taken....Shall we just carelessly allow children to hear any casual tales which may be devised by casual persons, and to receive into their minds ideas for the most part the very opposite of those which we should wish them to have when they are grown up?We cannot....Anything received into the mind at that age is likely to become indelible and unalterable; and therefore it is most important that the tales which the young first hear should be models of virtuous thoughts....",Plato,,75
"Musical training is a more potent instrument than any other, because rhythm and harmony find their way into the inward places of the soul.",Plato,music philosophy,74
The direction in which education starts a man will determine his future life,Plato,education future life plato,71
"...when he looks at Beauty in the only way that Beauty can be seen - only then will it become possible for him to give birth not to images of virtue (because he's in touch with no images), but to true virtue [arete] (because he is in touch with true Beauty). The love of the gods belongs to anyone who has given to true virtue and nourished it, and if any human being could become immortal, it would be he.",Plato,beauty love philosophy truth virtue,69
Ideas are the source of all things,Plato,intellect knowledge life philosophy wisdom,69
Philosophy is the highest music.,Plato,music philosophy,68
Time is the moving image of reality,Plato,,67
"Money-makers are tiresome company, as they have no standard but cash value.",Plato,insult money rich wealthy,67
"The man who makes everything that leads to happiness depends upon himself, and not upon other men, has adopted the very best plan for living happily. This is the man of moderation, the man of manly character and of wisdom.",Plato,character happiness life manliness moderation wisdom,66
"Come then, and let us pass a leisure hour in storytelling, and our story shall be the education of our heroes.",Plato,,66
"Wise men talk because they have something to say; Fools, because they have to say something.",Plato,inspirational life wisdom,65
This and no other is the root fromwhich a tyrant springs; when hefirst appears he is a protector.,Plato,tyrant tyrany,64
Beauty of style and harmony and grace and good rhythm depend on simplicity,Plato,,63
"According to Diotima, Love is not a god at all, but is rather a spirit that mediates between people and the objects of their desire. Love is neither wise nor beautiful, but is rather the desire for wisdom and beauty.",Plato,,62
"Men of Athens, I honor and love you; but I shall obey God rather than you, and while I have life and strength I shall never cease from the practice and teaching of philosophy... Understand that I shall never alter my ways, not even if I have to die many times.",Plato,,62
Lack of activity destroys the good condition of every human being,Plato,,62
Those who don't know must learn from those who do.,Plato,knowledge learning teaching,60
"In order for man to succeed in life, God provided him with two means, education and physical activity. Not separately, one for the soul and the other for the body, but for the two together. With these means, man can attain perfection.",Plato,education physical-activity,60
The most effective kind of education is that a child should play amongst lovely things.,Plato,children education lovely-things plato slow,57
"Plato asked Socrates what is love...Socrates: Go into the field and get me the most special leaf...Plato returned with no leaf at handsaid: I found the most beautiful leaf in the field but I didn't pick it up for I might find a better one, but when I returned to the place, it was gone... Socrates: We always look for the best in life. When we finally see it, we take it for granted and expecting a better one... NOT KNOWING IT WAS THE BEST AND LAST!!!",Plato,,57
Is there a perfect world?,Plato,quizzical,56
When the tyrant has disposed of foreign enemies by conquest or treaty and there is nothing to fear from them then he is always stirring up some wary or other in order that the people may require a leader.,Plato,freedom history liberty politics,56
"When there is an income tax, the just man will pay more and the unjust less on the same amount of income.",Plato,,55
Astronomy compels the soul to look upwards and leads us from this world to another.,Plato,,55
"Only a philosopher's mind grows wings, since its memory always keeps it as close as possible to those realities by being close to which the gods are divine.",Plato,philosophy plato,54
I have hardly ever known a mathematician who was capable of reasoning.,Plato,,53
Those who are too smart to engage in politics are punished by being governed by those who are dumber.,Plato,,51
"Evil is the vulgar lover who loves the body rather than the soul, inasmuch as he is not even stable, because he loves a thing which is in itself unstable, and therefore when the bloom of youth which he was desiring is over, he takes wing and flies away, in spite of all his words and promises; whereas the love of the noble disposition is life-long, for it becomes one with the everlasting.",Plato,,51
"It is the task of the enlightened not only to ascend to learning and to see the good but to be willing to descend again to those prisoners and to share their troubles and their honors, whether they are worth having or not. And this they must do, even with the prospect of death.",Plato,education enlightenment,48
the unexamined life is not worth living,Plato,,48
He feels particularly ashamed if ever he is seen by his lovers to be invovled in something dishonourable.,Plato,love,48
a life without investigation is not worth living,Plato,kindlehighlight,47
Honesty is for the most part less profitable than dishonesty,Plato,,47
Knowledge becomes evil if the aim be not virtuous.,Plato,knowledge morality philosophy,45
"... when someone sees a soul disturbed and unable to see something, he won't laugh mindlessly, but he'll take into consideration whether it has come from a brighter life and is dimmed through not having yet become accustomed to the dark or whether it has come from greater ignorance into greater light and is dazzled by the increased brillance.",Plato,allegory-of-the-cave light plato republic soul,44
Let parents then bequeath to their children not riches but the spirit of reverence.,Plato,reverence,44
"There is also a third kind of madness, which is possession by the Muses, enters into a delicate and virgin soul, and there inspiring frenzy, awakens lyric....But he, who, not being inspired and having no touch of madness in his soul, comes to the door and thinks he will get into the temple by the help of art--he, I say, and his poetry are not admitted; the sane man is nowhere at all when he enters into rivalry with the madman.",Plato,awaken madness muse poetry soul,44
The philosopher whose dealings are with divine order himself acquires the characteristics of order and divinity.,Plato,philosophy plato republic,44
All learning has an emotional base.,Plato,,42
"Man is a prisoner who has no right to open the door of his prison and run away... A man should wait, and not take his own life until God summons him.",Plato,,42
"Music is a moral law. It gives a soul to the Universe, wings to the mind, flight to the imagination, a charm to sadness, gaiety and life to everything. It is the essence of order, and leads to all that is good and just and beautiful.",Plato,,40
But Above all things truth beareth away the victory,Plato,north-side-nypl,39
At the touch of love everyone becomes a poet,Plato,philosophy-of-life,39
To conquer oneself is the best and noblest victory; to be vanquished by one's own nature is the worst and most ignoble defeat.,Plato,philosophy,39
"He who approaches the temple of the Muses without inspiration, in the belief that craftsmanship alone suffices, will remain a bungler and his presumptuous poetry will be obscured by the songs of the maniacs.",Plato,,39
"We are like people looking for something they have in their hands all the time; we're looking in all directions except at the thing we want, which is probably why we haven't found it.",Plato,,38
"Be kind, because everyone is having a really hard time.",Plato,kindness,38
Calligraphy is a geometry of the soul which manifests itself physically.,Plato,art inspiration,38
Strange times are these in which we live when old and young are taught falsehoods in school. And the person that dares to tell the truth is called at once a lunatic and fool,Plato,indoctrination propaganda schooling state-schools statism,38
"He could not harm me, for I do not think it is permitted that a better man be harmed by a worse",Plato,philos plato,37
let the speaker speak truly and the judge decide justly.,Plato,philosophy,37
The soul of man is immortal and imperishable.,Plato,,36
"And whenever any one informs us that he has found a man who knows all the arts, and all things else that anybody knows, and every single thing with a higher degree of accuracy than any other man –whoever tells us this, I think that we can only imagine him to be a simple creature who is likely to have been deceived by some wizard or actor whom he met, and whom he thought all-knowing, because he himself was unable to analyze the nature of knowledge and ignorance and imitation.",Plato,art deceived foolish ignorance imitation knowledge,36
"We do not learn, and that what we call learning is only a process of recollection.",Plato,,35
…it’s better in fact to be guilty of manslaughter than of fraud about what is fair and just.,Plato,fairness justic,34
"What shall we say about those spectators, then, who can see a plurality of beautiful things, but not beauty itself, and who are incapable of following if someone else tries to lead them to it, and who can see many moral actions, but not morality itself, and so on? That they only ever entertain beliefs, and do not know any of the things they believe?",Plato,,34
"He who wishes to serve his country must have not only the power to think, but the will to act",Plato,action education inspiration international-relations kurt-hahn service uwc,33
"Any one who has common sense will remember that the bewilderments of the eyes are of two kinds, and arise from two causes, either from coming out of the light or from going into the light, which is true of the mind's eye, quite as much as of the bodily eye; and he who remembers this when he sees any one whose vision is perplexed and weak, will not be too ready to laugh; he will first ask whether that soul of man has come out of the brighter life, and is unable to see because unaccustomed to the dark, or having turned from dakness to the day is dazzled by excess of light. And he will count the one happy in his condition and state of being, and he will pity the other; or, if he have a mind to laugh at the soul which comes from below into the light, there will be more reason in this than in the laugh which greets him who returns from above out of the light into the den. (Included in the introduction to ""Flowers for Algernon"" by Daniel Keyes)",Plato,,32
"Then the lover, who is true and no counterfeit, must of necessity be loved by his love.",Plato,philosophy,32
"I am that gadfly which God has attached to the state, and all day long …arousing and persuading and reproaching…You will not easily find another like me.",Plato,serious,32
For a man to conquer himself is the first and noblest of all victories.He was a wise man who invented beer,Plato,,31
"The man deserved his fate, deny it who can; yes, but the fate did not deserve the man.",Plato,,31
"The first and best victory is to conquer self. To be conquered by self is, of all things, the most shameful and vile.",Plato,inspirational,30
There is no such thing as a lover's oath. ,Plato,love,30
"And Agathon said, It is probable, Socrates, that I knew nothing of what I had said.And yet spoke you beautifully, Agathon, he said.",Plato,,30
"Wealth is the parent of luxury and indolence, and poverty of meanness and viciousness, and both of discontent.",Plato,poverty wealth,29
for the unexamined life is not worth living.,Plato,examined-life truth,28
"If it were necessary either to do wrong or to suffer it, I should choose to suffer rather than do it.",Plato,ethics philosophy,28
The first and greatest victory is to conquer yourself.,Plato,,28
Then we shan’t regard anyone as a lover of knowledge or wisdom who is fussy about what he studies…,Plato,knowledge,28
"What a strange thing that which men call pleasure seems to be, and how astonishing the relation it has with what is thought to be its opposite, namely pain! A man cannot have both at the same time. Yet if he pursues and catches the one, he is almost always bound to catch the other also, like two creatures with one head.",Plato,,28
"No matter how hard you fight the darkness, every light casts a shadow, and the closer you get to the light, the darker that shadow becomes.",Plato,darkness light shadow,27
: اگه با دلت کسي يا چيزي رو دوست داشتي زياد جدي نگيرش. چون کار دل دوست داشتنه... درست مثل کار چشم که ديدنه ... ولي اگه کسي رو با عقلت دوست داشتي بدون داري چيزي رو تجربه مي کني که اسمش عشق واقعيه,plato,,27
"And I understood then that I was a fool when I told you I would take my turn in singing the honours of Love, and admitted I was terribly clever in love affairs, whereas it seems I really had no idea how a eulogy ought to be made. For I was stupid enough to think that we ought to speak the truth about each person eulogised, and to make this the foundation, and from these truths to choose the most beautiful things and arrange them in the most elegant way; and I was quite proud to think how well I should speak, because I believed that I knew the truth.",Plato,,26
"It is our duty to select the best and most dependable theory that human intelligence can supply, and use it as a raft to ride the seas of life.",Plato,,26
"Here's something else I'd like your opinion about,"" I said. ""If he went back underground and sat down again in the same spot, wouldn't the sudden transition from the sunlight mean that his eyes would be overwhelmed by darkness?""  ""Certainly,"" he replied.  ""Now, the process of adjustment would be quite long this time, and suppose that before his eyes had settled down and while he wasn't seeing well, he had once again to compete against those same old prisoners at identifying those shadows. Would he make a fool of himself? Wouldn't they say that he'd come back from his upward journey with his eyes ruined, and that it wasn't even worth trying to go up there? And would they -- if they could -- grab hold of anyone who tried to set them free and take them up there and kill him?",Plato,perception,26
"Imagine that the keeper of a huge, strong beast notices what makes it angry, what it desires, how it has to be approached and handled, the circumstances and the conditions under which it becomes particularly fierce or calm, what provokes its typical cries, and what tones of voice make it gentle or wild. Once he's spent enough time in the creature's company to acquire all this information, he calls it knowledge, forms it into a systematic branch of expertise, and starts to teach it, despite total ignorance, in fact, about which of the creature's attitudes and desires is commendable or deplorable, good or bad, moral or immoral. His usage of all these terms simply conforms to the great beast's attitudes, and he describes things as good or bad according to its likes and dislikes, and can't justify his usage of the terms any further, but describes as right and good the things which are merely indispensable, since he hasn't realised and can't explain to anyone else how vast a gulf there is between necessity and goodness.",Plato,goodness,26
"O dear Pan and all the other gods of this place, grant that I may be beautiful inside. Let all my external possessions be in friendly harmony with what is within. May I consider the wise man rich. As for gold, let me have as much as a moderate man could bear and carry with him.",Plato,beauty moderation philosophy wisdom,26
"...each living creature is said to be alive and to be the same individual-- as for example someone is said to be the same person from when he is a child until he comes to be an old man. And yet, if he's called the same, that's despite the fact that he's never made up from the same things, but is always being renewed, and losing what he had before, whether it's hair, or flesh, or bones, or blood, in fact the whole body. And don't suppose that this is just true in the case of the body; in the case of the soul, too, its traits, habits, opinions, desires, pleasures, pains, fears-- none of these things is ever the same in any individual, but some are coming into existence, others passing away.",Plato,,26
"But afterwards there occurred violent earthquakes and floods; and in a single day and night of misfortune all your warlike men in a body sank into the earth, and the island of Atlantis in like manner disappeared in the depths of the sea.",Plato,,25
A sensible man will remember that the eyes may be confused in two ways - by a change from light to darkness or from darkness to light; and he will recognise that the same thing happens to the soul.,Plato,,25
Opinion is the medium between knowledge and ignorance,Plato,ignorance knowledge opinion,25
"Love is of something, and that which love desires is not that which love is or has; for no man desires that which he is or has. And love is of the beautiful, and therefore has not the beautiful. And the beautiful is the good, and therefore, in wanting and desiring the beautiful, love also wants and desires the good.",Plato,,24
‎Love is a madness produced by an unsatisfiable rational desire to understand the ultimate truth about the world.,Plato,love philosophy truth,24
"And isn't it a bad thing to be deceived about the truth, and a good thing to know what the truth is? For I assume that by knowing the truth you mean knowing things as they really are.",Plato,,24
Pleasure is the bait of sin,Plato,,24
Appearance tyrannizes over truth.,Plato,politics reputation,24
"And then, at this stage, every dictator comes up with the notorious and typical demand: he asks the people for bodyguards to protect him, the people's champion.",Plato,,24
"if you are willing to reflect on the courage and moderation of other people, you will find them strange...they all consider death a great evil...and the brave among them face death, when they do, for fear of greater evils...therefore, it is fear and terror that make all men brave, except for philosophers. yet it is illogical to be brave through fear and cowardice...what of the moderate among them? is their experience not similar?...they master certain pleasures because they are mastered by others...i fear this is not the right exchange to attain virtue, to exchange pleasures for pleasures, pains for pains, and fears for fears, the greater for the less like coins, but that they only valid currency for which all these things should be exchanged is wisdom.",Plato,,24
No thing more excellent nor more valuable than wine was ever granted mankind by God.,Plato,,24
"They deem him their worst enemy who tells them the truth. -Plato, philosopher (427-347 BCE)",Plato,and-everything humanity humor life politics society the-universe,23
Time is the moving image of eternity.,Plato,metaphor philosophy time vision,23
"This power came forth out of the Atlantic Ocean, for in those days the Atlantic was navigable; and there was an island situated in front of the straits which are by you called the Pillars of Heracles; the island was larger than Libya and Asia put together, and was the way to other islands, and from these you might pass to the whole of the opposite continent which surrounded the true ocean; for this sea which is within the Straits of Heracles is only a harbour, having a narrow entrance, but that other is a real sea, and the surrounding land may be most truly called a boundless continent. Now in this island of Atlantis there was a great and wonderful empire which had rule over the whole island and several others, and over parts of the continent, and, furthermore, the men of Atlantis had subjected the parts of Libya within the columns of Heracles as far as Egypt, and of Europe as far as Tyrrhenia. This vast power, gathered into one, endeavoured to subdue at a blow our country and yours and the whole of the region within the straits; and then, Solon, your country shone forth, in the excellence of her virtue and strength, among all mankind. She was pre-eminent in courage and military skill, and was the leader of the Hellenes. And when the rest fell off from her, being compelled to stand alone, after having undergone the very extremity of danger, she defeated and triumphed over the invaders, and preserved from slavery those who were not yet subjugated, and generously liberated all the rest of us who dwell within the pillars. But afterwards there occurred violent earthquakes and floods; and in a single day and night of misfortune all your warlike men in a body sank into the earth, and the island of Atlantis in like manner disappeared in the depths of the sea. For which reason the sea in those parts is impassable and impenetrable, because there is a shoal of mud in the way; and this was caused by the subsidence of the island. ",Plato,,23
"Always be kind, for everyone is fighting a hard battle.",Plato,philosophical,23
Thinking: The talking of the soul with itself,Plato,,23
"I prefer nothing, unless it is true.",Plato,socrates,22
"Si vis pacem, para bellum",Plato,peace war,22
The first and greatest victory is to conquer yourself; to be conquered by yourself is of all things most shameful and vile.,Plato,inspirational,22
[T]hose who practice philosophy in the right way are in training for dying and they fear death least of all men.,Plato,death philosophy,22
"Any one who has common sense will remember that the bewilderments of the eyes are of two kinds, and arise from two causes, either from coming out of the light or from going into the light",Plato ,plato-allegoryofthecave,21
Your silence gives consent.,Plato,,21
"Music is a moral law. It gives soul to the universe, wings to the mind, flight to the imagination, and charm and gaiety to life and to everything.",Plato,,20
"For as there are misanthropists, or haters of men, there are also misologists, or haters of ideas, and both spring from the same cause, which is ignorance of the world.",Plato,,20
"If anyone comes to the gates of poetry and expects to become an adequate poet by acquiring expert knowledge of the subject without the Muses' madness, he will fail, and his self-controlled verses will be eclipsed by the poetry of men who have been driven out of their minds.",Plato,,20
"[On the virtuous man] ""He combines the highest, lowest and middle chords in complete harmony within himself.",Plato,virtue,20
"True opinions are a fine thing and do all sorts of good so long as they stay in their place; but they will not stay long. They run away from a man's mind, so they are not worth much until you tether them by working out the reason. Once they are tied down, they become knowledge, and are stable.",Plato,,20
"It's not at all uncommon to find a person's desires compelling him to go against his reason, and to see him cursing himself and venting his passion on the source of the compulsion within him. It's as if there were two warring factions, with passion fighting on the side of reason. But I'm sure you won't claim that you had ever, in yourself or in anyone else, met a case of passion siding with his desires against the rational mind, when the rational mind prohibits resistance.",Plato,rationality,20
"So where it is a general rule that it is wrong to gratify lovers, this can be attributed to the defects of those who make that rule: the government's lust for rule and the subjects' cowardice",Plato,,20
"Beauty of style and harmony and grace and good rhythm depend on simplicity – I mean the true simplicity of a rightly and nobly ordered mind and character, not that other simplicity which is only a euphemism for folly.",Plato,authenticity character self-exploration,20
"The soul of him who has education is whole and perfect and escapes the worst disease, but, if a man's education be neglected, he walks lamely through life and returns good for nothing to the world below.",Plato,education,19
"The truth is that we isolate a particular kind of love and appropriate it for the name of love, which really belongs to a wider whole.",Plato,,19
"Even now I'm well aware that if I allowed myself to listen to him I couldn't resist but would have the same experience again. He makes me admit that, in spite of my great defects, I neglect myself and instead get involved in Athenian politics. So I force myself to block my ears and go away, like someone escaping from the Sirens, to prevent myself sitting there beside him till I grow old.",Plato,alcibiades plato socrates symposium,19
"Do you mean that the tyrant will dare to use violence against the people who fathered him, and raise his hand against them if they oppose him? So the tyrant is a parricide, and little comfort to his old parent.",Plato,despotism politics tyranny,19
"To the degree that I cease to persue my deepest passions, I will gradually be controlled by my deepest fears.",Plato,,19
"Other people are likely not to be aware that those who pursue philosophy aright study nothing but dying and being dead. Now if this is true, it would be absurd to be eager for nothing but this all their lives, and then to be troubled when that came for which they had all along been eagerly practicing.",Plato,,19
"As it is, the lover of inquiry must follow his beloved wherever it may lead him.",Plato,inquiry philosophy plato questions thinking,19
"Similarly with regard to truth, won't we say that a soul is maimed if it hates a voluntary falsehood, cannot endure to have one in itself, and is greatly angered when it exists in others, but is nonetheless content to accept an involuntary falsehood, isn't angry when it is caught being ignorant, and bears its lack of learning easily, wallowing in it like a pig?",Plato,ethics learning truth,19
"for the best possible state of your soul, as I say to you: Wealth does not bring about excellence, but excellence makes wealth and everything else good for men, both individually and collectively.",Plato,excellence truth-of-life,18
"not exact, but: the two most important questions are; who will teach the children? what they teach them?",Plato,,18
"Whereas, our argument shows that the power and capacity of learning exists in the soul already; and that just as the eye was unable to turn from darkness to light without the whole body, so too the instrument of knowledge can only by the movement of the whole soul be turned from the world of becoming into that of being, and learn by degrees to endure the sight of being, and of the brightest and best of being, or in other words, of the good.",Plato,,18
We can easily forgive a child who is afraid of the dark; the real tragedy of life is when men are afraid of the light. / Nije problem dijete koje se boji mraka; prava tragedija su odrasli koji se boje svjetla.,Plato,children grown-ups happiness truth,18
"A library of wisdom, is more precious than all wealth, and all things that are desirable cannot be compared to it. Whoever therefore claims to be zealous of truth, of happiness, of wisdom or knowledge, must become a lover of books.",Plato,books knowledge wisdom,18
Courage is a kind of salvation. Courage is knowing what not to fear.,Plato,courage,18
